a,价格,涨幅,代码,1上0深,名称,上市日期,b,纯债价值,昨日收盘价,股价,股票涨幅,c,股票代码,上深,股票,转股价,转股价值,转股溢价率,纯债溢价率,回售触发价,强赎触发价,到期赎回价,转股日,申购日期,差
3,116.495,1.65,123064,0,万孚转债,20200923,2,100.1052,31.78,33.93,6.77,2,300482,0,万孚生物,51.73,65.5906,77.61,16.37,36.21,67.25,110.0,20210308,20200901,-5.12
3,108.88,0.97,127044,0,蒙娜转债,20210916,2,97.8539,13.64,14.46,6.01,2,002918,0,蒙娜丽莎,26.75,54.0561,101.42,11.27,18.73,34.78,112.0,20220221,20210816,-5.04
3,128.779,2.22,127050,0,麒麟转债,20211206,2,95.4761,26.39,28.28,7.16,2,002984,0,森麒麟,34.68,81.5456,57.92,34.88,24.28,45.08,110.0,20220517,20211111,-4.94
3,118.499,1.18,113519,1,长久转债,20181130,2,111.6494,8.58,9.08,5.83,2,603569,1,长久物流,11.04,82.2464,44.08,6.13,7.73,14.35,115.0,20190513,20181107,-4.65
3,137.0,3.09,127036,0,三花转债,20210630,2,96.585,21.88,23.5,7.4,2,002050,0,三花智控,21.3,110.3286,24.17,41.84,14.91,27.69,110.0,20211207,20210601,-4.31
3,137.1,1.58,110075,1,南航转债,20201103,2,95.171,6.85,7.24,5.69,2,600029,1,南方航空,6.2,116.7742,17.41,44.06,4.34,8.06,106.5,20210421,20201015,-4.11
3,267.742,4.95,113626,1,伯特转债,20210721,2,101.7746,86.97,94.81,9.01,2,603596,1,伯特利,35.88,264.2419,1.32,163.07,25.12,46.64,116.0,20220105,20210629,-4.06
3,115.139,1.71,113605,1,大参转债,20201113,2,99.4446,36.16,38.17,5.56,2,603233,1,大参林,57.13,66.8125,72.33,15.78,39.99,74.27,110.0,20210428,20201022,-3.85
3,138.252,1.71,113575,1,东时转债,20200430,2,100.441,5.41,5.71,5.55,2,603377,1,东方时尚,12.15,46.9959,194.18,37.65,8.51,15.8,108.0,20201015,20200409,-3.84
3,128.184,1.79,113653,1,永22转债,20220826,2,96.9717,23.06,24.34,5.55,2,603681,1,永冠新材,26.81,90.787,41.19,32.19,18.77,34.85,115.0,20230203,20220728,-3.76
3,101.559,0.45,128108,0,蓝帆转债,20200619,2,99.5909,8.38,8.73,4.18,2,002382,0,蓝帆医疗,18.24,47.8618,112.19,1.98,12.77,23.71,108.0,20201203,20200528,-3.73
3,123.25,2.71,123132,0,回盛转债,20220107,2,99.945,23.35,24.84,6.38,2,300871,0,回盛生物,28.0,88.7143,38.93,23.32,19.6,36.4,115.0,20220623,20211217,-3.67
3,119.127,0.53,113636,1,甬金转债,20211231,2,99.6123,24.11,25.11,4.15,2,603995,1,甬金股份,36.05,69.6533,71.03,19.59,25.24,46.87,115.0,20220617,20211213,-3.62
3,113.212,0.81,128136,0,立讯转债,20201202,2,97.0723,29.48,30.75,4.31,2,002475,0,立讯精密,57.73,53.2652,112.54,16.63,40.41,75.05,108.0,20210510,20201103,-3.5
3,131.818,2.71,123119,0,康泰转2,20210805,2,98.2279,33.93,35.98,6.04,2,300601,0,康泰生物,33.66,106.8925,23.32,34.2,23.56,43.76,112.0,20220121,20210715,-3.33
3,122.211,0.43,113655,1,欧22转债,20220901,2,93.7029,85.08,88.25,3.73,2,603833,1,欧派家居,125.46,70.3252,73.8,30.44,87.82,163.1,112.0,20230213,20220805,-3.3
3,116.91,1.41,128023,0,亚太转债,20171226,2,106.9275,7.72,8.08,4.66,2,002284,0,亚太股份,10.24,78.9063,48.16,9.34,7.17,13.31,108.0,20180608,20171204,-3.25
3,104.121,0.15,110073,1,国投转债,20200820,2,96.6421,5.92,6.12,3.38,2,600061,1,国投资本,9.75,62.8718,65.61,7.74,-,12.68,107.0,20210201,20200724,-3.23
